number	value	datetime_start	datetime_complete	duration	params_lgb__feature_fraction	params_lgb__learning_rate	params_lgb__max_depth	params_lgb__min_child_samples	params_lgb__num_leaves	params_selector__linkage_method	params_selector__t	user_attrs_n_features	state
0	0.984225589044977	2026-05-26 13:53:53.791163	2026-05-26 13:59:38.099764	0 days 00:05:44.308601	0.9081068936022515	0.05308534546679132	3	89	19	average	0.10321070587155888	287	COMPLETE
1	0.9603650872466423	2026-05-26 13:53:53.792595	2026-05-26 13:55:21.985399	0 days 00:01:28.192804	0.5967867435266683	0.04506160025492171	7	89	33	average	0.503634970861437	76	COMPLETE
2	0.9801763113324655	2026-05-26 13:53:53.793254	2026-05-26 14:00:11.433793	0 days 00:06:17.640539	0.6421458582674685	0.029526831209817927	10	53	46	average	0.2619753481535348	163	COMPLETE
3	0.9655027758817669	2026-05-26 13:53:53.794601	2026-05-26 13:55:50.388465	0 days 00:01:56.593864	0.789947388202118	0.03732168327281924	4	89	54	ward	0.842345545615216	68	COMPLETE
4	0.9827976143480927	2026-05-26 13:53:53.795616	2026-05-26 13:57:26.482106	0 days 00:03:32.686490	0.5664861321053555	0.059174183661756315	8	85	25	average	0.17953782679324873	208	COMPLETE
5	0.9586021112243877	2026-05-26 13:55:21.986381	2026-05-26 13:57:15.371052	0 days 00:01:53.384671	0.9029257594156532	0.030903847329904404	6	49	44	ward	1.0055466634590196	57	COMPLETE
6	0.8691179263972277	2026-05-26 13:55:50.390077	2026-05-26 13:56:00.117525	0 days 00:00:09.727448	0.7112934527277524	0.05720411500179842	7	57	60	average	0.8359935514274528	15	COMPLETE
7	0.9469669291493361	2026-05-26 13:56:00.119052	2026-05-26 13:57:15.636557	0 days 00:01:15.517505	0.6726333137312714	0.027028176242885914	5	89	17	ward	1.4075176446841284	33	COMPLETE
8	0.9696820724975934	2026-05-26 13:57:15.372421	2026-05-26 13:59:11.707033	0 days 00:01:56.334612	0.7358758121443076	0.05785626919616741	10	88	16	average	0.38222068482645954	112	COMPLETE
9	0.971400202747842	2026-05-26 13:57:15.637962	2026-05-26 13:59:34.733267	0 days 00:02:19.095305	0.770306509784211	0.03595763316693817	4	92	51	ward	0.7188877838621843	82	COMPLETE
10	0.9715933552753556	2026-05-26 13:57:26.483498	2026-05-26 13:59:13.842948	0 days 00:01:47.359450	0.5423716445803912	0.039545890830549775	9	74	16	ward	0.7541878240833831	77	COMPLETE
11	0.9789415918053261	2026-05-26 13:59:11.708473	2026-05-26 14:02:42.195599	0 days 00:03:30.487126	0.9460385137507429	0.044804685088148104	5	29	36	ward	0.5458624812160237	116	COMPLETE
12	0.940863527251348	2026-05-26 13:59:13.844544	2026-05-26 14:00:08.293011	0 days 00:00:54.448467	0.5829854601883748	0.030049505547404334	6	78	35	ward	1.7129718914729677	26	COMPLETE
13	0.9797230729033324	2026-05-26 13:59:34.735279	2026-05-26 14:03:15.830856	0 days 00:03:41.095577	0.9506447520857808	0.0882282876798095	10	52	45	average	0.2900867825910113	151	COMPLETE
14	0.984324139469089	2026-05-26 13:59:38.101168	2026-05-26 14:03:51.439038	0 days 00:04:13.337870	0.9984491823481587	0.09102297534621924	3	22	34	average	0.10191088851063207	289	COMPLETE
15	0.9842897808990114	2026-05-26 14:00:08.295402	2026-05-26 14:04:28.683509	0 days 00:04:20.388107	0.990436431689042	0.08838234649605603	3	24	26	average	0.10182274052718106	289	COMPLETE
16	0.9823501548141195	2026-05-26 14:00:11.435402	2026-05-26 14:04:08.537843	0 days 00:03:57.102441	0.9791465983751838	0.08531972910191656	3	23	26	average	0.13219389942786397	257	COMPLETE
17	0.9863427411051223	2026-05-26 14:02:42.196699	2026-05-26 14:08:09.028586	0 days 00:05:26.831887	0.8337619435913898	0.08387830216637009	8	72	26	average	0.10498091121294013	283	COMPLETE
18	0.9862035732354182	2026-05-26 14:03:15.832503	2026-05-26 14:08:39.108052	0 days 00:05:23.275549	0.8499594954179504	0.07461859043705406	8	70	25	average	0.10029174498393255	289	COMPLETE
19	0.9839850528260536	2026-05-26 14:03:51.440731	2026-05-26 14:07:49.898506	0 days 00:03:58.457775	0.8515807142682792	0.08936901921129523	3	21	26	average	0.11596179356392375	272	COMPLETE
